# 1:t 2:x 3:y 4:z 5:P 6:Pmac 7:U 8:V 9:T
0.517045 0.15 0.2 0 1.01776 1.67735 -5.55165e-06 -8.86231e-06 0
0.51847 0.15 0.2 0 1.01905 1.65988 -5.59164e-06 8.03815e-06 0
0.519893 0.15 0.2 0 1.01908 1.64906 -5.66581e-06 -2.67224e-05 0
0.521313 0.15 0.2 0 1.01862 1.64493 -5.65287e-06 2.56195e-06 0
0.52273 0.15 0.2 0 1.01896 1.64995 -5.59664e-06 -1.33767e-06 0
0.524145 0.15 0.2 0 1.02021 1.66064 -5.60219e-06 -6.73028e-06 0
0.525557 0.15 0.2 0 1.02059 1.68381 -5.61289e-06 -1.3967e-05 0
0.526966 0.15 0.2 0 1.02064 1.67438 -5.59379e-06 -7.83655e-07 0
0.528373 0.15 0.2 0 1.02113 1.65335 -5.59328e-06 -7.11513e-06 0
0.529777 0.15 0.2 0 1.02111 1.64092 -5.60524e-06 -1.02784e-05 0
0.531179 0.15 0.2 0 1.02045 1.63762 -5.58256e-06 -2.07002e-05 0
0.532578 0.15 0.2 0 1.02112 1.63957 -5.64789e-06 2.42043e-05 0
0.533974 0.15 0.2 0 1.02198 1.65092 -5.59289e-06 -2.40835e-05 0
0.535368 0.15 0.2 0 1.02338 1.67496 -5.61007e-06 9.64833e-08 0
0.53676 0.15 0.2 0 1.02379 1.66374 -5.5991e-06 -1.30886e-05 0
0.538148 0.15 0.2 0 1.0233 1.64008 -5.6167e-06 -1.82967e-06 0
0.539534 0.15 0.2 0 1.02311 1.62786 -5.60951e-06 -9.16684e-06 0
0.540918 0.15 0.2 0 1.0229 1.62622 -5.62551e-06 -4.59526e-06 0
0.542299 0.15 0.2 0 1.02382 1.63246 -5.59757e-06 -9.55342e-06 0
0.543678 0.15 0.2 0 1.02463 1.64233 -5.60968e-06 -5.80612e-06 0
0.545054 0.15 0.2 0 1.02527 1.66439 -5.60485e-06 -6.76962e-06 0
0.546428 0.15 0.2 0 1.02615 1.65216 -5.60986e-06 -9.80959e-06 0
0.547799 0.15 0.2 0 1.02617 1.62588 -5.60493e-06 -4.57844e-06 0
0.549168 0.15 0.2 0 1.02558 1.61044 -5.6134e-06 -9.35354e-06 0
0.550534 0.15 0.2 0 1.02569 1.60764 -5.60739e-06 -8.3767e-06 0
0.551898 0.15 0.2 0 1.02732 1.61448 -5.61106e-06 -1.08593e-05 0
0.553259 0.15 0.2 0 1.02712 1.62018 -5.61086e-06 3.2504e-06 0
0.554618 0.15 0.2 0 1.02791 1.63202 -5.60221e-06 -1.31973e-05 0
