# 1:t 2:x 3:y 4:z 5:P 6:Pmac 7:U 8:V 9:T
0.529777 0.25 0.2 0 0.828108 1.46004 7.62888e-07 -5.34819e-06 0
0.531179 0.25 0.2 0 0.828016 1.46288 7.96506e-07 -6.65494e-06 0
0.532578 0.25 0.2 0 0.828179 1.46902 8.47569e-07 1.13416e-05 0
0.533974 0.25 0.2 0 0.829016 1.47909 8.04458e-07 -3.82718e-06 0
0.535368 0.25 0.2 0 0.829874 1.50235 9.44541e-07 -1.2258e-06 0
0.53676 0.25 0.2 0 0.828962 1.47679 8.03591e-07 -4.67449e-06 0
0.538148 0.25 0.2 0 0.828844 1.45578 8.00368e-07 3.09452e-06 0
0.539534 0.25 0.2 0 0.828047 1.44725 8.10287e-07 -2.80673e-06 0
0.540918 0.25 0.2 0 0.82815 1.44922 8.86745e-07 -8.96436e-07 0
0.542299 0.25 0.2 0 0.828088 1.45583 7.77163e-07 7.21438e-07 0
0.543678 0.25 0.2 0 0.828424 1.4664 8.25789e-07 1.43463e-06 0
0.545054 0.25 0.2 0 0.828832 1.48876 8.3271e-07 -6.68893e-07 0
0.546428 0.25 0.2 0 0.829198 1.46426 8.34571e-07 -1.64597e-06 0
0.547799 0.25 0.2 0 0.828583 1.43791 8.37642e-07 1.10511e-06 0
0.549168 0.25 0.2 0 0.827822 1.42734 8.78153e-07 -4.27516e-06 0
0.550534 0.25 0.2 0 0.828004 1.42809 7.07625e-07 -6.95905e-06 0
0.551898 0.25 0.2 0 0.82836 1.43326 9.25186e-07 4.0328e-06 0
0.553259 0.25 0.2 0 0.828374 1.44282 8.66828e-07 6.78798e-06 0
0.554618 0.25 0.2 0 0.828694 1.45467 8.01834e-07 -1.35883e-06 0
0.555975 0.25 0.2 0 0.829066 1.47836 8.39418e-07 -3.37026e-06 0
0.557329 0.25 0.2 0 0.829467 1.45181 8.10797e-07 1.40665e-06 0
0.55868 0.25 0.2 0 0.828791 1.42307 9.30329e-07 3.47975e-06 0
0.56003 0.25 0.2 0 0.827317 1.40977 7.65674e-07 -4.34886e-06 0
0.561377 0.25 0.2 0 0.8274 1.41038 8.52972e-07 1.78457e-06 0
0.562721 0.25 0.2 0 0.827275 1.41679 8.40243e-07 -3.72547e-06 0
0.564063 0.25 0.2 0 0.827646 1.42758 8.52489e-07 2.29402e-06 0
0.565403 0.25 0.2 0 0.827955 1.43957 8.29907e-07 -6.85504e-07 0
0.566741 0.25 0.2 0 0.828296 1.46704 8.64857e-07 -1.06494e-06 0
0.568076 0.25 0.2 0 0.828698 1.44486 8.30099e-07 -9.66979e-08 0
0.569409 0.25 0.2 0 0.828029 1.42006 8.6998e-07 -1.03825e-07 0
0.570739 0.25 0.2 0 0.827058 1.41012 8.1704e-07 4.25798e-07 0
0.572067 0.25 0.2 0 0.827156 1.41179 8.49095e-07 -2.2728e-06 0
0.573393 0.25 0.2 0 0.827297 1.419 8.56464e-07 2.41663e-06 0
0.574717 0.25 0.2 0 0.827874 1.4299 8.44857e-07 -7.38709e-06 0
0.576038 0.25 0.2 0 0.827924 1.44224 8.181e-07 1.19942e-05 0
0.577357 0.25 0.2 0 0.827809 1.4667 7.99988e-07 4.61552e-06 0
0.578674 0.25 0.2 0 0.828765 1.44414 5.98723e-07 -3.7475e-05 0
0.579988 0.25 0.2 0 0.82814 1.41214 9.62233e-07 4.53431e-05 0
0.581301 0.25 0.2 0 0.826302 1.39776 8.94707e-07 -3.29528e-05 0
0.582611 0.25 0.2 0 0.826913 1.40129 8.75867e-07 1.8142e-05 0
0.583918 0.25 0.2 0 0.826763 1.40483 8.83106e-07 -4.36128e-06 0
0.585224 0.25 0.2 0 0.826883 1.415 6.25681e-07 -4.28157e-06 0
0.586527 0.25 0.2 0 0.827568 1.42806 8.27944e-07 4.97262e-06 0
0.587828 0.25 0.2 0 0.82742 1.45194 9.22487e-07 -1.02194e-05 0
0.589127 0.25 0.2 0 0.82831 1.43081 8.61163e-07 9.68545e-06 0
0.590424 0.25 0.2 0 0.827548 1.40721 9.6061e-07 -5.27612e-06 0
0.591718 0.25 0.2 0 0.826502 1.40027 8.346e-07 9.2335e-06 0
